text,retweet_count,favoriate_count,urls,media,,,,,,,,,,,,,,,,,,,,,
RT @Lukita_Moudrik: ¬øCu√°l es tu lanzador favorito? #Gal√°cticos #RealMadrid https://t.co/KXHKJ1aoT4,9,0,,"[{'id': 746870254505197568, 'id_str': '746870254505197568', 'indices': [75, 98], 'media_url': 'http://pbs.twimg.com/media/Cl1qihUWgAAMJyJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Cl1qihUWgAAMJyJ.jpg', 'url': 'https://t.co/KXHKJ1aoT4', 'display_url': 'pic.twitter.com/KXHKJ1aoT4', 'expanded_url': 'https://twitter.com/Futbol_Dioses/status/746870327251243008/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 500, 'h': 450, 'resize': 'fit'}, 'medium': {'w': 500, 'h': 450, 'resize': 'fit'}, 'small': {'w': 500, 'h': 450, 'resize': 'fit'}}, 'source_status_id': 746870327251243008, 'source_status_id_str': '746870327251243008', 'source_user_id': 731646955005218816, 'source_user_id_str': '731646955005218816'}]",,,,,,,,,,,,,,,,,,,,,
RT @realmadrid: 72' Gol de Drogba. Galatasaray 3-1 Real Madrid #halamadrid #realmadrid,6467,0,,,,,,,,,,,,,,,,,,,,,,,
"RT @ontheclutch: #LaLiga Resultados del d√≠a

#Levante 2-1 #LasPalmas
#RealMadrid 1-1 #Atl√©ticoMadrif
#RealSociedad 5-0 #Girona
#Valencia 1-®π¶¢,1,0,,
RT @realmadrid: FINAL: Galatasaray 3-2 Real Madrid (Ebou√©", 57®π; Sneijder, 71®π; Drogba, 72®π / Cristiano Ronaldo, 8®π y 92®π) #halamadrid #real®π¶¢,4587,0,,,,,,,,,,,,,,,,,,,
"RT @realmadrid: 53' ¬°GOOOOOOOOOOOOOOOOOOOOOOOOOOOOL de @Cristiano! 

#RealMadrid 1-0 @Atleti

#FIFA18 | #RMDerbi https://t.co/kbtJOXG9TV",3383,0,,"[{'id': 983002763524222976, 'id_str': '983002763524222976', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/DaRTziUWsAAqNBH.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/DaRTziUWsAAqNBH.jpg', 'url': 'https://t.co/kbtJOXG9TV', 'display_url': 'pic.twitter.com/kbtJOXG9TV', 'expanded_url': 'https://twitter.com/realmadrid/status/983003023189397506/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 500, 'h': 500, 'resize': 'fit'}, 'small': {'w': 500, 'h': 500, 'resize': 'fit'}, 'large': {'w': 500, 'h': 500, 'resize': 'fit'}}, 'source_status_id': 983003023189397506, 'source_status_id_str': '983003023189397506', 'source_user_id': 14872237, 'source_user_id_str': '14872237'}]",,,,,,,,,,,,,,,,,,,,,
"RT @rhdelfutbol: Bayern Munich Campe√≥n de la #Bundesliga (¬°6to campeonato consecutivo!)

R√©cord de Ligas consecutivas 

 #BayernM 6

π‚®π¶¢,548,0,,
RT @realmadrid: 53' ¬°GOOOOOOOOOOOOOOOOOOOOOOOOOOOOL de @Cristiano! ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#RealMadrid 1-0 @Atleti,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"#FIFA18 | #RMDerbi https://t.co/kbtJOXG9TV""",3383,0,,"[{'id': 983002763524222976, 'id_str': '983002763524222976', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/DaRTziUWsAAqNBH.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/DaRTziUWsAAqNBH.jpg', 'url': 'https://t.co/kbtJOXG9TV', 'display_url': 'pic.twitter.com/kbtJOXG9TV', 'expanded_url': 'https://twitter.com/realmadrid/status/983003023189397506/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 500, 'h': 500, 'resize': 'fit'}, 'small': {'w': 500, 'h': 500, 'resize': 'fit'}, 'large': {'w': 500, 'h': 500, 'resize': 'fit'}}, 'source_status_id': 983003023189397506, 'source_status_id_str': '983003023189397506', 'source_user_id': 14872237, 'source_user_id_str': '14872237'}]",,,,,,,,,,,,,,,,,,,,,
"RT @realmadrid: Å†FP: #RealMadrid 1-1 @Atleti (@Cristiano 53'; Griezmann 57').
#Emirates | #RMDerbi https://t.co/EGNpH9TjRI",1827,0,,"[{'id': 983012939509780480, 'id_str': '983012939509780480', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/DaRdD20X0AApGZ0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DaRdD20X0AApGZ0.jpg', 'url': 'https://t.co/EGNpH9TjRI', 'display_url': 'pic.twitter.com/EGNpH9TjRI', 'expanded_url': 'https://twitter.com/realmadrid/status/983013007918845953/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'source_status_id': 983013007918845953, 'source_status_id_str': '983013007918845953', 'source_user_id': 14872237, 'source_user_id_str': '14872237'}]",,,,,,,,,,,,,,,,,,,,,
"RT @realmadrid: 53' ¬°GOOOOOOOOOOOOOOOOOOOOOOOOOOOOL de @Cristiano! 

#RealMadrid 1-0 @Atleti

#FIFA18 | #RMDerbi https://t.co/kbtJOXG9TV",3383,0,,"[{'id': 983002763524222976, 'id_str': '983002763524222976', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/DaRTziUWsAAqNBH.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/DaRTziUWsAAqNBH.jpg', 'url': 'https://t.co/kbtJOXG9TV', 'display_url': 'pic.twitter.com/kbtJOXG9TV', 'expanded_url': 'https://twitter.com/realmadrid/status/983003023189397506/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 500, 'h': 500, 'resize': 'fit'}, 'small': {'w': 500, 'h': 500, 'resize': 'fit'}, 'large': {'w': 500, 'h': 500, 'resize': 'fit'}}, 'source_status_id': 983003023189397506, 'source_status_id_str': '983003023189397506', 'source_user_id': 14872237, 'source_user_id_str': '14872237'}]",,,,,,,,,,,,,,,,,,,,,
"RT @realmadrid: FINAL: Galatasaray 3-2 Real Madrid (Ebou√©, 57®π; Sneijder, 71®π; Drogba, 72®π / Cristiano Ronaldo, 8®π y 92®π) #halamadrid #real®π¶¢,4587,0,,
RT @pembekupon: G√ºn√ºn kombinesi.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
